date,category,region,post_count
2026-05-31,food,성수,102
2026-05-31,food,속초,56
2026-05-31,food,송도,37
2026-05-31,food,송리단길,10
2026-05-31,food,송파,41
2026-05-31,food,수원,96
2026-05-31,food,시청,39
2026-05-31,food,신사,26
2026-05-31,food,신촌,12
2026-05-31,food,안국,13
2026-05-31,food,안양,26
2026-05-31,food,압구정,28
2026-05-31,food,양양,23
2026-05-31,food,양재,17
2026-05-31,food,양평,14
2026-05-31,food,여수,46
2026-05-31,food,여의도,41
2026-05-31,food,역삼,24
2026-05-31,food,연남동,43
2026-05-31,food,올림픽공원,7
2026-05-31,food,왕십리,13
2026-05-31,food,용산,76
2026-05-31,food,을지로,40
2026-05-31,food,의정부,19
2026-05-31,food,이태원,25
2026-05-31,food,익선동,13
2026-05-31,food,인사동,8
2026-05-31,food,인천,137
2026-05-31,food,일산,51
2026-05-31,food,잠실,62
2026-05-31,food,전주,72
2026-05-31,food,정자,18
2026-05-31,food,제주,170
2026-05-31,food,종로,70
2026-05-31,food,천호,13
2026-05-31,food,청담,17
2026-05-31,food,춘천,40
2026-05-31,food,코엑스,17
2026-05-31,food,파주,48
2026-05-31,food,판교,17
2026-05-31,food,포항,45
2026-05-31,food,하남,27
2026-05-31,food,한남동,25
2026-05-31,food,합정,28
2026-05-31,food,해방촌,8
2026-05-31,food,혜화,3
2026-05-31,food,홍대,70
2026-05-31,food,DDP,1
