rank,area,candidate_place,category,mention_count,sample_titles,sample_links
26,성수,가든페스티벌 사전예매 공연 후기 및 주변 현,unknown,1,2026 서울숲 가든페스티벌 사전예매 공연 후기 및 주변...,https://blog.naver.com/bi-yam/224301822845
27,성수,가볼 만한 곳 국제정원박람회,popup,1,"서울숲 가볼 만한 곳 국제정원박람회, 피크닉 하기, 포켓몬...",https://blog.naver.com/ktl0628_/224301600253
28,성수,가볼 만한 곳 국제정원박람회 피크닉 하기 포,popup,1,"서울숲 가볼 만한 곳 국제정원박람회, 피크닉 하기, 포켓몬...",https://blog.naver.com/ktl0628_/224301600253
29,성수,가볼만한 곳 라코스테 폴로 팩토리,popup,1,[성수 가볼만한 곳 라코스테 폴로 팩토리] 라코스테 폴로 셔츠...,https://blog.naver.com/blk_lg_ryan/224301775008
30,성수,가볼만한 곳 라코스테 폴로 팩토리 라코스테,popup,1,[성수 가볼만한 곳 라코스테 폴로 팩토리] 라코스테 폴로 셔츠...,https://blog.naver.com/blk_lg_ryan/224301775008
31,성수,가서 구경을 엄청함 뉴뉴 쇼핑 농담곰 팝업,popup,1,4월과5월 / 봄&초여름~,https://blog.naver.com/aexxuna/224301720870
32,성수,가정의 달 영화 보고 성수 넘어가서 뉴에라 팝업,popup,1,행보칸. 가정의.달,https://blog.naver.com/kimseohyun0226/224301794389
33,성수,각보다 빠르게 사람들 빠져서 괜춘했던 성수 팝업,popup,1,5월 4주 성수 팝업 모음 현장웨이팅,https://blog.naver.com/1210rudals/224301685672
34,성수,감성 카페 도토리오븐,cafe,1,성수 감성 카페 도토리오븐 내돈내산 솔직 후기,https://blog.naver.com/eunsu_exe/224301703409
35,성수,감성 카페 도토리오븐 내돈내산 솔직,cafe,1,성수 감성 카페 도토리오븐 내돈내산 솔직 후기,https://blog.naver.com/eunsu_exe/224301703409
36,성수,감성맛집,cafe,1,성수 감성 카페 도토리오븐 내돈내산 솔직 후기,https://blog.naver.com/eunsu_exe/224301703409
37,성수,강남 등 핵심 상권에 진출하며 글로벌 핫플,unknown,1,다이소 독주 막을까? 패션계 다이소 '뉴뉴' & 뷰티 아울렛...,https://blog.naver.com/damibini7/224300510397
38,성수,강동구청역맛집,restaurant,1,강동구청역맛집 달그락뭉티기 성내점 당일도축 한우 뭉티기...,https://blog.naver.com/07_889/224301581003
39,성수,거리와 팝업 스토어,popup,1,성수동 주차장 추천 : 한라시그마밸리2차 (2시간 4천 원),https://blog.naver.com/a4b4/224301596768
40,성수,건대 맛집,restaurant,1,[건대 맛집] 왕김밥 : 고물가 시대에 양과 맛으로 승부하는 김밥...,https://blog.naver.com/s_umnii/224292649430
41,성수,견 대가족 귀여운 핫도그 아기들 등 이번 팝업,popup,1,2026 6월 서울 팝업 ·전시 총정리 | 성수·코엑스·도서전...,https://blog.naver.com/getsbe_0/224301714023
42,성수,경희대 숭실대 팝업,popup,1,"[성수,경희대,숭실대 팝업] 깐달걀 피부 만들기 이니스프리...",https://blog.naver.com/trace_on_/224301753049
43,성수,경희대 숭실대 팝업 깐달걀 피부 만들기 이니,popup,1,"[성수,경희대,숭실대 팝업] 깐달걀 피부 만들기 이니스프리...",https://blog.naver.com/trace_on_/224301753049
44,성수,고 오래 검색한 끝에 발견한 성수동 브런치 카페,cafe,1,[성수동찐맛집!!] 프렌즈앤야드 핫플 인정! 비주얼+맛 다 잡았다,https://blog.naver.com/wol1000gogo/224299829221
45,성수,고 인생머리 찾음 오늘은 최근 다녀온 머리 맛집,restaurant,1,"성수 미용실 추천, 드안에서 매직하고 인생머리 찾음",https://blog.naver.com/sulming_/224301751634
46,성수,고민했던 제품이 있었지만 역시 품절이었네요 팝업,popup,1,5월 30일 성수 포켓몬 팝업 스토어 후기 (30주년 파티 올리브영...,https://blog.naver.com/elly044/224301821306
47,성수,골목길 다들 자주 가시죠 성수동에는 트렌디한,popup,1,성수동맛집 가성비 소고기 종결자 우향가 정육식당,https://blog.naver.com/92236/224301726366
48,성수,골목을 걷다 보면 시선을 사로잡는 힙한 외관,cafe,1,[성수동 카페 추천] 따우전드 성수 미국 감성 힙한 파이 맛집...,https://blog.naver.com/ejl0304-/224301741770
